"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Report file reflects JSON structure.","30037","test","Surefire suite","Mon Feb 10 23:45:50 GMT 2025","passed","Mon Feb 10 23:46:20 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Execution of config file that has more than 10 endpoints.","300089","test","Surefire suite","Mon Feb 10 23:51:21 GMT 2025","failed","Mon Feb 10 23:56:21 GMT 2025","functional.TC016_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC016_VerifyElevenEndpointsProcessingTest","test"
"Should not execute pings for duplicated endpoints","60024","test","Surefire suite","Mon Feb 10 23:50:21 GMT 2025","failed","Mon Feb 10 23:51:21 GMT 2025","functional.TC017_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC017_VerifyPingerFlowWithDuplicatesTest","test"
"Report JSON file matches expected schema.","43195","test","Surefire suite","Mon Feb 10 23:45:07 GMT 2025","failed","Mon Feb 10 23:45:50 GMT 2025","sanity.TC007_VerifyAvailableEndpointHasSuccessfulPingsTest","Surefire test","sanity.TC007_VerifyAvailableEndpointHasSuccessfulPingsTest","test"
"Application successfully creates *.json file.","30013","test","Surefire suite","Mon Feb 10 23:47:51 GMT 2025","passed","Mon Feb 10 23:48:21 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Application successfully loads configuration JSON and exits without errors.","30016","test","Surefire suite","Mon Feb 10 23:47:21 GMT 2025","passed","Mon Feb 10 23:47:51 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","5","test","Surefire suite","Mon Feb 10 23:51:21 GMT 2025","failed","Mon Feb 10 23:51:21 GMT 2025","functional.TC021_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC021_VerifyInvalidFileTypeProcessingTest","test"
"Verify application usage message when no arguments are provided","149","test","Surefire suite","Mon Feb 10 23:44:07 GMT 2025","passed","Mon Feb 10 23:44:07 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Application successfully creates file with given name.","30018","test","Surefire suite","Mon Feb 10 23:44:07 GMT 2025","passed","Mon Feb 10 23:44:37 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Report JSON file matches expected schema.","54","test","Surefire suite","Mon Feb 10 23:47:20 GMT 2025","failed","Mon Feb 10 23:47:21 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
"Application prints an error and exits gracefully in case of broken JSON file structure.","6","test","Surefire suite","Mon Feb 10 23:51:21 GMT 2025","failed","Mon Feb 10 23:51:21 GMT 2025","functional.TC020_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC020_VerifyBrokenJsonProcessingTest","test"
"Base positive case scenario.","120037","test","Surefire suite","Mon Feb 10 23:48:21 GMT 2025","failed","Mon Feb 10 23:50:21 GMT 2025","functional.TC008_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC008_VerifyPingerFlowWithValidReportTest","test"
